iter	Passed	Remaining
0	139	139642
1	140	70082
2	141	46882
3	141	35267
4	142	28295
5	142	23647
6	143	20322
7	143	17831
8	144	15894
9	144	14344
10	145	13076
11	145	12020
12	146	11128
13	147	10362
14	147	9697
15	148	9116
16	148	8602
17	149	8146
18	149	7740
19	150	7370
20	150	7035
21	151	6729
22	151	6454
23	152	6199
24	152	5964
25	153	5748
26	153	5548
27	154	5362
28	154	5189
29	155	5028
30	155	4876
31	156	4733
32	156	4599
33	157	4473
34	157	4355
35	158	4244
36	159	4139
37	159	4038
38	159	3942
39	160	3850
40	160	3764
41	161	3681
42	161	3603
43	162	3528
44	162	3456
45	163	3387
46	163	3321
47	164	3258
48	164	3198
49	165	3140
50	165	3086
51	166	3033
52	166	2982
53	167	2933
54	167	2885
55	168	2839
56	168	2794
57	169	2751
58	169	2709
59	170	2669
60	171	2633
61	171	2595
62	172	2559
63	172	2524
64	173	2490
65	173	2457
66	174	2424
67	174	2392
68	175	2362
69	175	2332
70	176	2303
71	176	2274
72	176	2247
73	177	2221
74	177	2194
75	178	2169
76	179	2146
77	179	2124
78	180	2102
79	180	2079
80	181	2057
81	181	2036
82	182	2012
83	182	1991
84	183	1971
85	183	1951
86	184	1932
87	184	1913
88	185	1894
89	185	1876
90	186	1858
91	186	1841
92	187	1824
93	187	1807
94	187	1790
95	188	1774
96	188	1758
97	189	1743
98	189	1728
99	190	1713
100	190	1699
101	191	1684
102	191	1670
103	192	1657
104	193	1645
105	193	1633
106	194	1621
107	194	1609
108	195	1600
109	196	1589
110	196	1577
111	197	1566
112	198	1554
113	198	1542
114	199	1531
115	199	1520
116	199	1508
117	200	1497
118	200	1486
119	201	1476
120	201	1466
121	202	1455
122	202	1445
123	203	1436
124	203	1426
125	204	1417
126	204	1407
127	205	1397
128	205	1388
129	206	1381
130	206	1372
131	207	1364
132	208	1356
133	208	1347
134	209	1339
135	209	1330
136	209	1322
137	210	1314
138	210	1306
139	211	1299
140	212	1291
141	212	1283
142	212	1275
143	213	1268
144	213	1261
145	214	1254
146	214	1247
147	215	1240
148	215	1233
149	216	1227
150	217	1221
151	217	1214
152	218	1208
153	218	1201
154	219	1195
155	219	1189
156	220	1183
157	220	1177
158	221	1171
159	221	1165
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1134
165	224	1128
166	225	1122
167	225	1117
168	226	1111
169	226	1106
170	227	1101
171	227	1096
172	228	1091
173	228	1085
174	229	1080
175	229	1075
176	230	1070
177	230	1065
178	231	1060
179	231	1055
180	232	1050
181	232	1046
182	233	1041
183	233	1036
184	234	1032
185	234	1027
186	235	1023
187	235	1018
188	236	1014
189	236	1009
190	237	1005
191	238	1001
192	238	997
193	239	993
194	239	989
195	240	984
196	240	980
197	241	976
198	241	972
199	242	968
200	242	965
201	243	961
202	243	957
203	244	953
204	244	950
205	245	946
206	246	942
207	246	939
208	247	935
209	247	932
210	248	928
211	248	924
212	249	921
213	250	918
214	250	914
215	251	911
216	251	907
217	252	904
218	252	900
219	253	897
220	253	893
221	253	890
222	254	886
223	255	883
224	255	880
225	256	877
226	256	874
227	257	871
228	257	867
229	258	864
230	258	861
231	259	858
232	259	855
233	260	852
234	261	849
235	261	846
236	262	844
237	262	841
238	263	838
239	263	834
240	264	831
241	264	828
242	265	826
243	265	823
244	266	820
245	266	817
246	267	814
247	267	811
248	268	808
249	268	806
250	269	803
251	269	800
252	270	797
253	270	794
254	271	791
255	271	789
256	272	786
257	272	784
258	273	781
259	273	779
260	274	776
261	274	773
262	275	771
263	275	769
264	276	766
265	276	764
266	277	761
267	278	759
268	278	757
269	279	754
270	279	752
271	280	749
272	280	747
273	281	745
274	281	742
275	282	740
276	282	738
277	283	735
278	283	733
279	284	731
280	284	728
281	285	726
282	285	724
283	286	721
284	286	719
285	287	717
286	287	715
287	288	713
288	289	711
289	289	709
290	290	707
291	290	705
292	291	703
293	292	701
294	292	699
295	293	697
296	293	695
297	294	693
298	294	691
299	295	689
300	295	687
301	296	685
302	296	682
303	297	680
304	297	678
305	298	676
306	298	674
307	299	672
308	299	670
309	300	668
310	300	666
311	301	664
312	301	662
313	302	660
314	303	658
315	303	657
316	304	655
317	304	653
318	305	651
319	305	649
320	306	647
321	306	645
322	307	644
323	307	642
324	308	640
325	308	638
326	309	636
327	309	634
328	310	632
329	310	630
330	311	629
331	311	627
332	312	625
333	312	623
334	313	622
335	313	620
336	314	618
337	314	616
338	315	614
339	315	613
340	316	611
341	316	609
342	317	608
343	318	606
344	318	604
345	319	603
346	319	601
347	319	599
348	320	597
349	320	595
350	321	594
351	321	592
352	322	590
353	322	588
354	323	587
355	323	585
356	324	583
357	324	582
358	325	580
359	325	578
360	326	577
361	326	575
362	327	574
363	327	572
364	328	570
365	328	569
366	329	567
367	329	566
368	330	564
369	330	563
370	331	561
371	331	559
372	332	558
373	332	556
374	333	555
375	333	553
376	333	551
377	334	550
378	334	548
379	335	547
380	335	545
381	336	544
382	336	542
383	337	541
384	337	539
385	338	538
386	338	536
387	339	535
388	339	533
389	340	532
390	340	530
391	341	529
392	341	527
393	342	526
394	342	525
395	343	523
396	343	522
397	344	520
398	344	519
399	345	518
400	345	516
401	346	515
402	346	513
403	347	512
404	347	511
405	348	509
406	348	508
407	349	507
408	350	505
409	350	504
410	351	503
411	351	501
412	351	500
413	352	498
414	352	497
415	353	496
416	353	494
417	354	493
418	354	492
419	355	490
420	356	489
421	356	488
422	357	487
423	357	485
424	358	484
425	358	483
426	359	481
427	359	480
428	360	479
429	360	478
430	361	476
431	361	475
432	362	474
433	362	472
434	363	471
435	363	470
436	364	469
437	364	467
438	365	466
439	365	465
440	366	464
441	366	462
442	367	461
443	367	460
444	368	459
445	368	457
446	369	456
447	369	455
448	370	454
449	370	453
450	371	452
451	372	451
452	373	450
453	373	449
454	374	448
455	374	447
456	375	446
457	375	444
458	376	443
459	377	442
460	377	441
461	378	440
462	378	439
463	379	438
464	379	436
465	380	435
466	380	434
467	381	433
468	382	432
469	382	431
470	383	430
471	384	429
472	384	428
473	385	427
474	386	426
475	386	425
476	387	424
477	387	423
478	388	422
479	388	421
480	389	420
481	390	419
482	390	418
483	391	417
484	391	416
485	392	415
486	392	413
487	393	412
488	394	411
489	394	410
490	395	409
491	395	408
492	396	407
493	397	406
494	397	405
495	398	404
496	398	403
497	399	402
498	399	401
499	400	400
500	400	399
501	401	398
502	401	397
503	402	396
504	402	394
505	403	393
506	404	392
507	404	391
508	405	390
509	405	389
510	406	388
511	407	387
512	407	386
513	408	385
514	408	385
515	409	384
516	410	383
517	410	382
518	411	381
519	412	380
520	412	379
521	413	378
522	413	377
523	414	376
524	414	375
525	415	374
526	416	373
527	416	372
528	417	371
529	417	370
530	418	369
531	418	368
532	419	367
533	420	366
534	420	365
535	421	364
536	421	363
537	422	362
538	422	361
539	423	360
540	424	359
541	424	358
542	425	357
543	425	356
544	426	355
545	426	354
546	427	353
547	427	352
548	428	351
549	428	350
550	429	350
551	430	349
552	430	348
553	431	347
554	431	346
555	432	345
556	432	344
557	433	343
558	433	342
559	434	341
560	435	340
561	435	339
562	436	338
563	436	337
564	437	336
565	437	335
566	438	334
567	438	333
568	439	332
569	439	331
570	440	330
571	440	329
572	441	328
573	441	327
574	442	326
575	442	325
576	443	324
577	443	323
578	444	323
579	444	322
580	445	321
581	445	320
582	446	319
583	447	318
584	447	317
585	448	316
586	448	315
587	449	314
588	449	313
589	450	312
590	450	312
591	451	311
592	452	310
593	452	309
594	453	308
595	453	307
596	454	306
597	454	305
598	455	304
599	455	303
600	456	302
601	456	301
602	457	301
603	458	300
604	458	299
605	459	298
606	459	297
607	460	296
608	460	295
609	461	294
610	461	294
611	462	293
612	462	292
613	463	291
614	464	290
615	464	289
616	465	288
617	465	287
618	466	286
619	466	286
620	467	285
621	467	284
622	468	283
623	468	282
624	469	281
625	470	280
626	470	280
627	471	279
628	471	278
629	472	277
630	472	276
631	473	275
632	473	274
633	474	273
634	474	272
635	475	272
636	476	271
637	476	270
638	477	269
639	477	268
640	478	267
641	478	266
642	479	266
643	479	265
644	480	264
645	480	263
646	481	262
647	481	261
648	482	260
649	482	259
650	483	259
651	483	258
652	484	257
653	484	256
654	485	255
655	485	254
656	486	253
657	486	252
658	487	252
659	487	251
660	488	250
661	488	249
662	489	248
663	489	247
664	490	247
665	490	246
666	491	245
667	492	244
668	492	243
669	493	242
670	493	241
671	494	241
672	494	240
673	495	239
674	495	238
675	496	237
676	496	236
677	497	236
678	497	235
679	498	234
680	498	233
681	499	232
682	499	231
683	500	231
684	500	230
685	501	229
686	501	228
687	502	227
688	502	226
689	503	226
690	503	225
691	504	224
692	504	223
693	505	222
694	505	221
695	506	221
696	506	220
697	507	219
698	507	218
699	508	217
700	508	217
701	509	216
702	509	215
703	510	214
704	510	213
705	511	212
706	511	212
707	512	211
708	513	210
709	513	209
710	514	208
711	514	208
712	515	207
713	515	206
